,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFCBANK,HDFC,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,IOC,ITC,JSWSTEEL,KOTAKBANK,LT,MARUTI,M&M,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SHREECEM,SUNPHARMA,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,UPL,VEDL,WIPRO,ZEEL
2015-01-01,319.54998779296875,749.1500244140625,503.0499877929688,2452.14990234375,1286.5999755859375,349.9700012207031,218.06700134277344,915.75,628.4000244140625,380.0499877929688,3210.5,15262.2998046875,124.4810028076172,527.10400390625,401.70001220703125,476.0249938964844,818.2000122070312,3105.39990234375,158.4499969482422,758.4500122070312,320.27301025390625,812.0,493.6000061035156,84.11250305175781,244.7669982910156,106.58999633789062,629.2999877929688,1001.969970703125,3340.75,618.5250244140625,6317.9501953125,118.70800018310548,229.36700439453125,137.10000610351562,443.95001220703125,314.0,9377.5498046875,822.2000122070312,493.1600036621094,385.3340148925781,1272.780029296875,648.6380004882812,379.7999877929688,2662.5,227.7330017089844,219.25,207.1499938964844,377.70001220703125
2015-01-02,319.3500061035156,775.0499877929688,514.2999877929689,2451.75,1275.6500244140625,344.375,214.8000030517578,939.2750244140624,630.1500244140625,381.75,3221.39990234375,15082.0,125.04399871826172,541.5419921875,401.31201171875,482.6499938964844,818.2000122070312,3098.10009765625,160.10000610351562,755.9500122070312,329.364013671875,815.9000244140625,503.2999877929688,83.6500015258789,245.5330047607422,106.91500091552734,635.7750244140625,1023.0999755859376,3359.60009765625,612.3250122070312,6331.5,120.33300018310548,232.8000030517578,138.75,442.7749938964844,315.25,9325.900390625,826.25,506.3689880371094,391.3370056152344,1289.719970703125,651.81201171875,382.7999877929688,2742.10009765625,234.8329925537109,222.3000030517578,208.98800659179688,380.95001220703125
2015-01-05,323.79998779296875,775.0,517.5499877929689,2460.699951171875,1258.699951171875,343.4750061035156,215.2169952392578,939.9249877929688,633.0,380.25,3148.39990234375,15150.5,125.43800354003906,543.5789794921875,394.56201171875,478.57501220703125,818.2000122070312,3119.39990234375,156.85000610351562,760.2999877929688,330.0450134277344,819.0999755859375,498.9750061035156,84.55000305175781,246.5,106.66000366210938,633.2249755859375,1037.3299560546877,3447.800048828125,609.2249755859375,6334.89990234375,120.0,235.43299865722656,138.89999389648438,437.9249877929688,312.75,9302.5498046875,826.75,518.2410278320311,397.0050048828125,1270.1199951171875,640.93798828125,385.8999938964844,2747.699951171875,230.4669952392578,219.8000030517578,209.36300659179688,380.0
2015-01-06,321.8500061035156,756.5,499.0499877929688,2441.5,1229.5999755859375,342.5849914550781,213.0500030517578,940.9500122070312,614.3499755859375,379.95001220703125,3065.550048828125,14755.900390625,121.47200012207031,522.8510131835939,384.0249938964844,471.125,818.2000122070312,3014.39990234375,153.39999389648438,774.7000122070312,316.0450134277344,798.4000244140625,488.5499877929688,83.61250305175781,240.16700744628903,102.7699966430664,625.6749877929688,1002.72998046875,3395.25,605.8250122070312,6246.7998046875,116.0,222.1000061035156,135.80000305175778,418.0499877929688,299.8999938964844,9076.349609375,808.5499877929688,496.0790100097656,377.760009765625,1223.300048828125,634.06201171875,372.70001220703125,2670.60009765625,219.3000030517578,209.0500030517578,204.468994140625,367.8999938964844
2015-01-07,321.1000061035156,771.7000122070312,498.6499938964844,2447.199951171875,1228.550048828125,349.55999755859375,214.9830017089844,997.875,611.9500122070312,374.70001220703125,3039.199951171875,14959.900390625,118.37799835205078,529.427978515625,374.8999938964844,472.5,818.2000122070312,2974.050048828125,148.89999389648438,801.9000244140625,307.5,791.9500122070312,490.88800048828125,83.76249694824219,235.6999969482422,101.18499755859376,635.75,1000.3300170898438,3437.75,612.0750122070312,6272.9501953125,118.79199981689452,225.36700439453125,137.75,427.1499938964844,300.1499938964844,9064.0,809.7999877929688,488.6090087890625,370.5190124511719,1208.8499755859375,631.0999755859375,374.6000061035156,2660.050048828125,215.36700439453125,209.0,202.9129943847656,364.8500061035156
2015-01-08,334.54998779296875,820.3499755859375,501.95001220703125,2450.39990234375,1289.800048828125,348.9649963378906,225.86700439453125,984.5999755859376,618.2000122070312,379.45001220703125,3066.300048828125,14873.7001953125,121.14800262451172,530.5819702148439,383.57501220703125,482.4249877929688,818.2000122070312,2984.0,152.5500030517578,817.0499877929688,315.864013671875,798.7000122070312,493.3619995117188,85.875,241.6000061035156,102.20999908447266,670.3250122070312,1006.7000122070312,3475.5,618.7999877929688,6300.4501953125,120.79199981689452,227.86700439453125,138.35000610351562,421.0249938964844,304.8500061035156,9161.75,818.7999877929688,506.5669860839844,376.2829895019531,1221.9000244140625,641.6619873046875,372.8999938964844,2727.449951171875,221.86700439453125,210.5,204.375,364.5
2015-01-09,331.1499938964844,812.5,494.95001220703125,2375.85009765625,1279.199951171875,345.0050048828125,226.4499969482422,972.6500244140624,632.3499755859375,375.0499877929688,3163.800048828125,14738.7001953125,122.4280014038086,527.4210205078125,386.38800048828125,487.82501220703125,818.2000122070312,2992.25,155.0,864.5999755859375,310.77301025390625,802.0,518.6119995117189,85.42500305175781,237.93299865722656,101.29499816894531,680.4749755859375,1000.1699829101562,3468.199951171875,619.0999755859375,6386.35009765625,116.875,234.0,138.44999694824222,430.1499938964844,303.20001220703125,9188.2998046875,830.0499877929688,516.7570190429689,380.760986328125,1256.1500244140625,670.0880126953125,372.8999938964844,2729.35009765625,221.56700134277344,207.8000030517578,207.56300354003903,360.7999877929688
2015-01-12,328.45001220703125,807.75,501.5499877929688,2334.0,1267.699951171875,343.82000732421875,225.4669952392578,966.0,630.75,357.8500061035156,3207.25,14857.7001953125,121.00800323486328,532.2239990234375,393.88800048828125,483.5249938964844,818.2000122070312,2937.14990234375,151.10000610351562,896.5999755859375,315.0450134277344,829.4500122070312,528.9869995117189,84.875,238.56700134277344,100.06999969482422,685.5,1022.7999877929688,3462.89990234375,616.5,6462.75,116.66699981689452,231.8000030517578,136.5,425.1499938964844,307.1000061035156,9202.0498046875,835.2999877929688,516.7570190429689,377.99798583984375,1254.8499755859375,688.5,376.7999877929688,2700.300048828125,220.3999938964844,206.25,208.5189971923828,360.8999938964844
2015-01-13,323.0,833.8499755859375,504.5,2324.10009765625,1286.449951171875,348.29998779296875,223.18299865722656,966.7000122070312,636.4000244140625,361.20001220703125,3223.35009765625,14799.2001953125,120.41699981689452,549.3889770507811,395.8999938964844,481.6749877929688,818.2000122070312,2893.199951171875,151.6999969482422,884.5499877929688,309.90899658203125,825.5,522.2249755859375,85.0374984741211,240.06700134277344,99.34500122070312,696.4749755859375,1013.0,3468.25,624.4000244140625,6714.64990234375,115.79199981689452,226.63299560546875,135.85000610351562,421.57501220703125,305.1000061035156,9231.900390625,833.0999755859375,513.93798828125,372.9960021972656,1248.949951171875,690.2750244140625,372.20001220703125,2818.5,229.8329925537109,204.6000061035156,211.31300354003903,361.75
2015-01-14,331.25,842.6500244140625,499.6000061035156,2363.449951171875,1254.199951171875,377.3949890136719,217.2330017089844,973.0250244140624,631.4000244140625,363.20001220703125,3208.25,14833.5,119.9530029296875,552.5570068359375,394.70001220703125,481.95001220703125,818.2000122070312,2903.050048828125,142.14999389648438,924.0499877929688,306.27301025390625,816.6500244140625,532.1619873046875,83.92500305175781,231.86700439453125,96.8249969482422,695.5999755859375,1012.0,3516.0,618.4749755859375,6781.85009765625,114.79199981689452,229.36700439453125,136.05000305175778,417.4750061035156,304.70001220703125,9262.400390625,820.6500244140625,514.8280029296875,359.03900146484375,1260.969970703125,697.8880004882812,371.6000061035156,2908.85009765625,238.8000030517578,188.1000061035156,206.9810028076172,359.95001220703125
2015-01-15,330.6000061035156,839.3499755859375,514.0499877929689,2417.949951171875,1289.050048828125,386.0199890136719,220.9830017089844,967.0750122070312,638.0499877929688,368.45001220703125,3240.550048828125,15127.2001953125,120.31900024414062,568.2570190429688,398.31201171875,496.57501220703125,818.2000122070312,2950.550048828125,141.89999389648438,921.5499877929688,320.77301025390625,830.3499755859375,533.56201171875,84.01249694824219,238.6000061035156,97.09500122070312,700.2000122070312,1049.1300048828123,3625.800048828125,639.0499877929688,6809.10009765625,116.0,231.0,142.9499969482422,432.125,320.29998779296875,9974.0,825.9000244140625,527.2940063476561,366.5650024414063,1269.550048828125,695.4500122070312,375.8999938964844,3083.050048828125,241.66700744628903,189.6999969482422,209.81300354003903,369.3999938964844
2015-01-16,330.8500061035156,843.4500122070312,514.7999877929689,2420.14990234375,1267.6500244140625,393.7799987792969,219.7669982910156,964.3499755859376,647.3499755859375,379.0499877929688,3285.800048828125,15349.7001953125,119.51699829101562,563.35400390625,409.75,500.6749877929688,818.2000122070312,2897.699951171875,138.55000305175778,941.0499877929688,321.6820068359375,831.8499755859375,529.5750122070311,84.125,240.06700134277344,98.04499816894531,697.6749877929688,1061.1700439453123,3616.60009765625,652.2999877929688,6985.2001953125,117.0,231.3999938964844,147.35000610351562,434.8500061035156,315.45001220703125,9920.2001953125,849.75,520.1710205078125,365.2789916992188,1266.0699462890625,704.2369995117188,387.20001220703125,3070.10009765625,246.7669982910156,193.25,208.1439971923828,385.8500061035156
2015-01-19,328.3500061035156,831.9000244140625,528.9500122070311,2403.89990234375,1257.949951171875,390.1749877929688,215.06700134277344,954.3250122070312,657.7999877929688,379.20001220703125,3323.89990234375,15474.599609375,123.90499877929688,565.8330078125,411.1629943847656,502.2749938964844,818.2000122070312,2841.300048828125,140.25,892.5499877929688,328.0,829.1500244140625,525.625,84.19999694824219,239.1999969482422,97.66500091552734,694.7249755859375,1076.5699462890623,3626.25,666.0999755859375,7073.9501953125,118.125,231.66700744628903,147.85000610351562,439.82501220703125,313.1499938964844,10257.2001953125,863.0,532.7849731445311,366.5650024414063,1255.5,700.06201171875,394.5,3088.5,247.36700439453125,193.1499938964844,219.0749969482422,384.6000061035156
2015-01-20,330.5,839.2000122070312,551.4000244140625,2404.25,1321.949951171875,390.4750061035156,215.88299560546875,960.375,661.7999877929688,382.2999877929688,3306.199951171875,15490.7001953125,121.31700134277344,571.8829956054688,418.0379943847656,510.4750061035156,818.2000122070312,2828.64990234375,144.6999969482422,895.4500122070312,334.3179931640625,840.4500122070312,531.0499877929689,84.1875,247.3999938964844,100.51000213623048,697.8499755859375,1086.3699951171877,3605.550048828125,662.625,7074.5,119.04199981689452,233.5330047607422,147.39999389648438,451.5249938964844,318.1499938964844,10456.400390625,872.2999877929688,553.2659912109375,383.0,1250.219970703125,700.4500122070312,393.6000061035156,3096.449951171875,247.56700134277344,204.1499938964844,221.3999938964844,390.70001220703125
2015-01-21,329.3500061035156,851.2999877929688,547.25,2446.64990234375,1292.6500244140625,381.739990234375,218.0500030517578,957.5250244140624,643.4500122070312,391.8500061035156,3335.85009765625,15372.2998046875,122.00599670410156,586.0880126953125,421.81201171875,509.9750061035156,818.2000122070312,2875.14990234375,143.1999969482422,941.9500122070312,334.9549865722656,842.5499877929688,542.4749755859375,82.51249694824219,235.13299560546875,99.99500274658205,694.0750122070312,1103.030029296875,3634.699951171875,662.5250244140625,7080.0,119.58300018310548,230.6999969482422,146.89999389648438,453.375,326.20001220703125,10427.2998046875,885.9500122070312,545.64697265625,378.3320007324219,1256.9000244140625,699.125,406.95001220703125,3054.800048828125,242.86700439453125,199.6499938964844,220.76300048828125,381.5499877929688
2015-01-22,329.3999938964844,867.1500244140625,564.75,2444.300048828125,1298.199951171875,384.0650024414063,219.0169982910156,950.5750122070312,654.7999877929688,396.3999938964844,3361.25,15315.0,121.23300170898438,590.1389770507812,416.4249877929688,510.625,818.2000122070312,2838.85009765625,143.4499969482422,944.6500244140624,336.1820068359375,846.25,549.1119995117189,82.9124984741211,233.7669982910156,99.3249969482422,693.8250122070312,1108.8699951171877,3597.25,664.9749755859375,7097.0498046875,116.83300018310548,235.2669982910156,148.35000610351562,441.875,324.6499938964844,10904.2001953125,920.0499877929688,560.4879760742189,384.3340148925781,1256.780029296875,689.5250244140625,399.75,3122.449951171875,240.2330017089844,201.1000061035156,222.95599365234372,389.5
