Date,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFCBANK,HDFC,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,IOC,ITC,JSWSTEEL,KOTAKBANK,LT,MARUTI,M&M,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SHREECEM,SUNPHARMA,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,UPL,VEDL,WIPRO,ZEEL
2015-01-02,2894058,2080850,3852825,164726,43560,140430,3071145,308986,688999,969551,86014,39973,2267177,290026,933372,2950192,0,187675,2923839,1207322,8272990,640249,6778320,1717556,6599676,3664240,1263630,1936584,233924,1279856,6843,2383093,3736468,2032228,3351654,9935094,1605,710310,4193093,3604332,925740,1025204,623981,228660,3485478,3270358,2099476,960337
2015-01-05,2099786,1326999,2561430,118873,31566,144620,3283116,344472,1282895,1857013,293765,35376,2794188,639143,2012624,2398000,0,160068,4830121,849252,10316090,336910,9937024,2406424,8238987,3392870,610230,2176527,536747,1456708,10690,2197057,6074619,4101387,4619182,9136716,2685,792287,6758676,5463886,1754242,770804,551576,181680,1455238,3512083,1919300,842678
2015-01-06,3672197,1510720,5284530,580496,37724,137810,6560505,228284,1615490,4644316,391335,48118,11088485,809177,3470408,4109840,0,457760,7054029,2738679,13282427,485801,9667316,4463644,13093039,5549800,2269086,3048025,422743,2579114,13159,5923512,9024997,4662543,8516086,15329257,2183,1709888,7979598,6476796,2423784,1959932,519159,292468,2071117,6095798,6198347,1443145
2015-01-07,2981544,1427667,4245189,189191,73114,109470,3928182,947474,813936,2628276,319437,31815,6462240,840090,3540560,2873056,0,378882,6638158,3744143,21254332,737973,7249916,3355784,11960580,5286870,3571774,2063635,369241,2189814,35673,5848555,8937670,1831602,9472630,15046745,6180,1730518,9232656,4984692,2636332,1331532,397373,120023,3720183,3410940,4152790,1527500
2015-01-08,2932673,2769416,5637844,4301348,87268,96860,8420097,452894,1273014,1779075,278836,29487,4796218,264968,3906036,4762912,0,513335,3540099,3076833,12558144,623621,13564920,4602312,8449164,4780810,6909766,1455954,422022,1672412,7524,7564225,6578931,1370588,9084914,8939749,9564,943536,5535587,3327170,1565408,1760940,672501,249884,2241168,3956233,3896065,729084
2015-01-09,3543488,1708427,5078463,245974,32784,173160,5039577,483074,2151608,1442177,593638,38742,9748407,328344,6164448,4492592,0,365342,3743205,3825060,15701030,544145,44863328,3983956,10808512,5046040,6437410,1735729,194054,1532294,20492,3778993,13223764,1169800,6122732,11953948,5835,1766875,4053562,5312066,3197642,3004040,985975,334880,3090469,2842333,6793558,1385760
2015-01-12,2990475,1320557,2290147,203022,19678,117740,1933722,276782,1094136,3794388,334222,65723,3856389,183866,2661684,2063206,0,396343,4659450,4338065,8304115,896776,12758888,2247776,9868950,2409440,1686842,1535320,152803,897684,47557,3190536,3157549,2059299,4617432,8536142,21195,1188646,2560568,2824476,1596006,3457052,344364,148064,1351051,2641823,2210895,1646430
2015-01-13,2688701,3835281,4069260,161658,58042,141920,2986269,463696,1261489,1654914,490674,14432,4605391,608888,2916072,2914174,0,387266,4324660,3371700,13100848,3264664,8801236,2103280,11623503,5067780,1921642,1318348,237771,1478978,55108,4515434,7395021,1603524,4548216,9484804,16857,838422,4328812,3151708,1468432,3020512,715002,517233,6944788,4640762,3156337,1761201
2015-01-14,2272652,2320114,2973231,217775,258705,4175930,3556137,658212,1033679,1186130,331309,15794,8632568,345908,4133276,1842616,0,503348,13580758,4578199,13127934,1238612,9921260,4168004,16224852,5881870,1518580,1476891,429069,2831716,37403,2736211,6704722,2215696,5202572,8855660,13055,996066,6070608,7483245,1787096,1642216,404068,537834,4317558,10865065,4861929,1392613
2015-01-15,2140699,1308063,6670800,726566,136827,1223200,5904138,381804,1229115,2278050,443672,46169,7678175,694315,3658976,5699238,0,548030,10860317,3534537,16662989,1493767,8342452,3426628,16047717,6814340,3970818,3419091,670686,2859036,59753,7016253,10737987,3614292,7738494,30729523,34301,2224116,6902556,7359159,5009920,2348088,648144,699207,2974933,7275654,3496711,2146779
2015-01-16,1970666,1568660,6920742,270014,81048,508620,3573624,395802,1245788,2086327,422004,32984,4595805,507531,3185348,3910654,0,441344,9096928,2021113,14726646,1160723,6690960,2136684,10813588,4952730,2680600,4195027,379075,2131084,49852,6225934,4284924,4625155,8748776,21598514,5131,2005202,4250137,4763663,5293830,3840948,1387070,369250,2779971,6323218,4152340,2633578
2015-01-19,1362398,1041563,6113156,368777,32530,398990,3308652,280876,1536486,1720402,248669,38266,7209262,470162,3335832,2119746,0,494968,8541810,7705398,10277015,612731,4087744,1786996,6853234,3389350,1755076,2087947,192537,1362458,35414,5186906,3049690,2859021,6098582,9975658,23250,1382755,4617341,2928222,1135074,1066204,913385,147140,2236056,2577634,16167102,798820
2015-01-20,1091657,1314139,6934581,197434,136014,186760,2326635,258474,1537603,1371798,297710,36741,6945952,439668,3099268,4252902,0,620515,8856169,4355821,11477610,1318766,6804504,4596116,12014673,6121230,3783726,2088778,333315,1838290,28431,6449028,4842070,3456624,6108346,13104643,24943,2053198,6140342,6316417,2058566,1248036,603286,303336,1878513,7450225,6695296,1263250
2015-01-21,1514648,1663391,4459351,201858,100496,565740,2767269,270598,1541897,2579948,431156,26060,4336100,754999,7541032,3370306,0,502824,8871757,4103989,12457852,1462665,8494908,4823040,32448214,5028900,2684130,3705237,402419,1391960,31104,6947634,8863149,1611670,7810366,22617660,11973,2358508,6521363,4091085,2310480,2102312,1885665,295819,2458926,5341348,8850704,7657084
2015-01-22,1376133,1995155,5546866,748394,37831,121710,2468169,287662,1642285,1632779,245798,14085,10089957,479851,3769104,3235340,0,616241,6918171,3585572,9320935,553285,9958396,2812152,29627575,3852690,4000016,1811173,318883,1815350,54149,6729064,8061763,3946926,10844730,12232626,27153,4797782,6010572,4752319,2113214,2468964,785747,368715,1723426,6966585,9729325,1587469
2015-01-23,7519790,1531430,4975114,356732,25502,424180,4353039,460102,2255956,1892706,441479,104097,6598642,598760,4683076,4993956,0,616170,6943971,2450001,13525550,1179588,9486328,4666480,16747498,5485050,1554812,4374211,337571,4563196,45866,9045246,6424399,2559074,8265794,17127278,46747,2835629,7764736,4751135,3150380,1997508,709214,414381,1537792,5078703,9638917,1321254
2015-01-27,2928237,1831293,5376830,507659,105522,1159950,5802642,227478,2067849,2619631,412304,134065,8382993,835927,4461772,4981200,0,563105,7886739,3274894,13932787,840924,13739968,2951324,25255861,4699280,1686732,3390609,1278436,2382932,45350,17981989,4689873,3402034,8201508,13734088,12300,2261868,7213518,4169369,2738736,1976488,1306898,426957,1991038,4559087,7882275,1179774
2015-01-28,3391819,2895714,6370073,963742,274486,1394050,5719488,455520,1379608,2589117,249711,85026,4724772,783556,4173388,5682470,0,415685,7496686,2246526,14787690,925540,13134356,3311540,12317799,4527080,7440398,3463524,672705,1659912,23762,6764469,7037476,3065063,8822454,19428852,12808,1939863,8297785,4193654,3121980,2378628,6282139,241081,1640554,3755411,8384984,2090303
2015-01-29,4034959,5326269,5424486,391136,105965,407160,9701247,177374,2245977,11218814,1401638,61534,9037990,535565,4751440,10283808,0,544345,10636771,3421454,22085259,687051,15369424,6115700,21093768,7116890,4500854,3460012,603103,2952528,22040,17553748,10551229,3894592,16511776,14911660,12831,2668139,5874507,5419069,3734392,3780160,3488597,353459,2583888,10159523,6744160,3507244
2015-01-30,4373172,3291034,4497194,261718,72613,589870,7377372,200600,1061983,14790368,632758,37457,3948182,724415,21415344,5285208,0,447643,7570814,1562161,31372235,888368,10833744,5042612,13917157,8125080,2798500,2282494,284786,1628740,30387,22309884,6162442,1740457,9941906,30252827,26559,1873464,4180985,3779442,5817402,4703872,970722,170802,1898403,5627736,4696596,1861036
2015-02-02,1735161,4808585,6307718,444651,271402,376560,5076798,324012,878717,25950717,386253,50836,5334895,396129,10089756,2855176,0,298183,7296741,1822825,37165959,666544,8702540,2669436,8493861,4969410,3312738,2125707,319679,1455970,24716,10364854,3717522,1365302,8824550,17639807,11832,1750030,4363228,3336724,3181802,7806000,1106879,258417,6059877,3557339,7974328,1280710
2015-02-03,1537152,3048559,9290016,727453,66736,210490,4893417,480162,772717,7690620,522573,31021,6305326,1127232,8442272,5100344,0,377426,6262548,1544881,25975650,1013403,5265956,2999144,6298908,5147100,3061642,2930722,220676,4694416,18909,7781553,7617916,742508,7814040,23743882,90496,2275229,6100343,3614466,2345054,2436904,2245302,407784,10507746,7921272,4232769,1032469
2015-02-04,2792395,912365,10773056,399841,50162,286770,5480157,680290,1326140,15177656,214845,27280,5731389,585443,4939900,3098756,0,902976,8349284,1181845,15639435,907333,5160016,2465912,5807209,4891080,2356658,1846012,203545,1828968,6588,4036543,12396304,979216,6433654,21477507,31196,2769365,3398715,4639794,2245418,1751448,1392064,220090,9013189,7754951,4461630,1900037
2015-02-05,2167857,1668101,6865785,272367,21629,384730,9326904,306482,913021,9382752,422142,29185,4038582,1158862,8494896,4029574,0,475877,6672029,1711139,18771838,704581,11875936,4086852,9478186,5187440,1832800,2015947,379633,4854858,17043,6143088,3953791,1380048,5653156,15722348,9439,1850360,6847443,3256034,4530168,1602784,1040089,130329,2762121,2866989,6131803,3533904
2015-02-06,3265593,1668283,7706020,296601,30818,334310,4651986,502006,1572398,3576894,244496,21560,6034119,602666,4023848,3451560,0,544388,5623571,717674,17811770,465226,7453728,2271320,7324875,4718950,1216540,2210620,198214,4184102,8881,5976495,5834608,1362844,4135456,15985714,18958,3120503,12221202,4743635,2136416,1711276,1116247,129840,5598588,3334756,5537155,3206207
2015-02-09,3103409,1910672,4334546,274052,18120,98060,4103676,686106,1213162,2498414,352149,26596,7231395,264393,4670508,2615948,0,425252,9737189,860239,15330887,573650,6536868,1767872,7188007,7214190,1648472,5339823,286868,5283110,15551,3114468,4045851,1412491,4041210,17088719,12371,1350099,4628548,7909607,2076432,1355964,813004,127620,2108044,2464805,3397287,1323352
2015-02-10,3921257,2235687,9809275,258202,33001,172870,7341765,359742,1834808,5296191,338985,52892,5222749,478954,5786408,4637876,0,531510,8706407,1058750,31301276,1050019,8516920,2961568,8011749,4334980,2851982,10472047,547537,4016676,15902,4506774,3438390,2240223,6240782,22589681,21411,1515424,5617236,5543217,3799054,2848392,1092699,187835,2462724,2110708,5570289,1895192
2015-02-11,2148555,1227804,6200994,212912,18282,250340,2413551,390054,1671824,27184800,232891,39868,4107212,761790,2142516,2080794,0,427723,6154345,897359,13732188,787344,5796972,2326640,4545472,4968810,1123314,4675647,341769,2159236,13708,3522442,3754929,3189759,4471548,17366588,7732,1046438,4637550,4152938,2937522,2885288,1113419,170700,5374516,2673304,7083251,3085879
2015-02-12,3539194,1974102,5849894,638711,65346,190070,2138277,1068302,4022095,4759855,457240,42647,4534593,727436,4365376,2762870,0,471851,10713094,1121008,14372362,507508,6287536,2120476,5294224,4874410,2051746,3162283,436882,2265072,12887,5162803,6518277,4374474,3981748,20957180,2518,778562,5488927,3585137,3107980,1398956,1131467,187078,2829805,3097817,4819878,5612430
2015-02-13,2180303,1323475,4633409,543888,72853,104200,11002557,644926,6373168,16984215,211055,74178,9275572,390855,3286008,3857250,0,278795,5666609,1344229,9926537,700753,5657516,12272040,9026029,6535110,2291792,2363568,321186,5989004,28685,3614205,9134797,4651941,3380142,70540056,29096,2046667,3506531,3921824,4158326,1367488,935029,193738,2295769,2306202,4619582,1402208
2015-02-16,2205960,1584956,4284303,1062376,97454,337440,5993670,563458,1056625,4307836,149937,71003,3718302,258965,3024868,3694358,0,278310,4949268,1635273,11084024,420397,6244276,6350084,11606473,4547420,1098220,1676532,260901,4291626,23895,1945558,5713141,2131697,5607922,21372131,5847,2869370,5793607,3139765,2364392,1739352,842771,177606,1487070,2958982,2558732,1061105
2015-02-18,1227170,1448399,4695905,318828,48505,292010,2063703,295476,975390,5508230,209696,92962,3598700,568447,6327804,2690846,0,10612619,3717870,2178775,8830098,503192,8613764,5584988,13669321,4624720,1376174,2187792,161803,3603180,32189,4976054,7747543,2269487,4496248,13472484,85677,1309654,5846505,3393034,2660014,4645928,1093702,202114,1582840,2482108,3022785,1613325
2015-02-19,2643121,1216904,5349212,924708,23660,280220,3872217,265050,1803177,6011878,171684,49229,2799045,799029,4136952,2253502,0,4318965,8185032,1034454,10326464,621565,9673624,5447684,6980185,10900420,1295830,2808871,214789,2829468,11509,3709054,5393952,1523263,4366230,17762135,47444,1190354,4316943,8137218,2618002,2996608,1517003,165743,1937391,7692286,3691020,794228
2015-02-20,1302901,699111,6025707,506875,13830,572140,2197665,332866,1323954,5970211,151478,30521,2207437,274166,2668572,3103012,0,516004,6630757,623253,17197010,1207981,6971628,2283128,8931408,6068460,1196682,5372566,240749,1295648,134761,3178180,4764178,2579747,8556874,15792502,12577,1146633,3907248,3613171,1801588,1555608,1033950,201227,1280686,6158735,2424887,976302
2015-02-23,1737238,1434240,6089272,427575,421395,113320,2215317,374346,1030305,4701758,415998,33201,4610198,441127,2666340,2790782,0,569905,6743403,1054383,12236793,596633,5090488,3303604,5852227,6027130,3557422,3558913,163132,2705104,29209,6031716,4667715,3294901,6448086,12440505,7325,2440626,3040407,3238230,1614892,2152512,1004925,200058,2133754,6338461,2844932,1306772
2015-02-24,2330482,1141027,6155111,280197,31062,170740,3692292,178172,745543,4510109,216410,39233,5567904,296895,3643048,2923144,0,433596,6455384,2100402,12177664,505014,6437676,2655640,8238781,6011050,6025330,3186507,143983,1833458,58297,5885637,11394412,2129631,9118740,15046698,11771,1469026,4350356,3451244,2199922,1746308,748836,118101,2949123,2852143,4216801,1248168
